checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,evaluated_time,fidelity_setting,corr
0.028220146082332056,91,483329,320,3008,65548490,1493,761687,16.05659193613232,359,70,72.7679137448513,38299,865753234,6201,1369780640,34,13,40609,569952364,590.08,236.10061597824097,"[180, 50, 100000, 4, 0.5]",1
0.2177145358109979,25,95901,264,5879,1820216052,6248,666669,12.350738848618072,473,93,27.55025835567697,53869,2134574392,8554,889501732,846,106,16086,580084105,577.99,238.3269190788269,"[180, 50, 100000, 4, 0.5]",1
0.25061227774494793,38,982246,197,2703,1646952304,5549,436467,3.8159016529802923,89,61,16.24654859598198,66815,717931438,6035,1668189466,2007,200,11090,46322261,576.55,239.6733798980713,"[180, 50, 100000, 4, 0.5]",1
0.6281713482886779,88,360597,135,4449,685696291,3686,758242,37.133993255409756,866,17,98.30617562492469,13586,401288056,6059,1952929104,391,128,59037,504147221,560.96,239.0784192085266,"[180, 50, 100000, 4, 0.5]",1
0.2794059602928915,103,906337,286,274,672087793,6094,357466,3.389121948117811,429,21,22.542276053995156,91550,1640195948,4924,946751821,137,203,46135,1218789298,559.99,238.7624363899231,"[180, 50, 100000, 4, 0.5]",1
0.2177145358109979,25,95901,264,5879,1820216052,6248,666669,12.350738848618072,473,93,27.55025835567697,53869,2134574392,8554,889501732,846,106,16086,580084105,558.28,241.1622450351715,"[180, 50, 100000, 4, 0.5]",1
0.3526506644180661,114,839849,1020,7800,418058918,6159,631305,18.380521701287066,347,36,48.78612443628009,83634,861988343,9098,1860841620,1396,73,37403,1007974127,556.72,239.96358513832092,"[180, 50, 100000, 4, 0.5]",1
0.2177145358109979,25,95901,264,3229,1820216052,6248,666669,3.389121948117811,473,93,22.542276053995156,53869,1640195948,4924,1207781439,846,106,46135,1218789298,555.38,240.32493233680725,"[180, 50, 100000, 4, 0.5]",1
0.9499683594202086,103,330478,674,3229,672087793,9784,443182,3.389121948117811,710,16,22.542276053995156,4450,1640195948,4924,946751821,137,107,46135,1218789298,555.25,237.1011974811554,"[180, 50, 100000, 4, 0.5]",1
0.2794059602928915,103,906337,286,274,672087793,8224,357466,3.389121948117811,429,21,22.542276053995156,91550,1640195948,4924,946751821,137,203,46135,1218789298,555.22,238.85395908355713,"[180, 50, 100000, 4, 0.5]",1
0.6465574683349207,40,685820,805,482,1026879496,1261,890594,2.167934114579942,6,106,3.111970988416723,71249,1273629858,1592,113012843,2560,24,84051,180214078,554.65,238.79578948020935,"[180, 50, 100000, 4, 0.5]",1
0.0404741705640624,214,436597,773,2169,1348040052,7775,431713,21.08774350438919,930,117,59.33759320180955,83810,1557161854,7863,2087909402,7352,150,86228,1218107883,554.6,239.71991109848022,"[180, 50, 100000, 4, 0.5]",1
0.2794059602928915,103,906337,286,274,672087793,6094,357466,3.389121948117811,429,21,22.542276053995156,91550,1640195948,4924,946751821,137,203,46135,1218789298,553.73,239.86958527565002,"[180, 50, 100000, 4, 0.5]",1
0.04657415892333572,25,95901,62,5879,327965705,8194,666669,34.454519793156926,429,69,79.05004451290952,40863,1443920836,8554,889501732,846,106,19663,580084105,552.79,240.83011627197266,"[180, 50, 100000, 4, 0.5]",1
0.08384883470015049,162,313984,595,3692,1416509684,1193,76940,38.44770907791509,484,64,56.51036748152034,67911,1428264805,3883,457143265,744,182,78785,550311856,552.44,240.9392020702362,"[180, 50, 100000, 4, 0.5]",1
0.6752525429619101,100,18452,62,519,327965705,8194,357466,34.454519793156926,429,30,79.05004451290952,40863,1443920836,6756,1721616711,3680,163,19663,1262929584,551.58,237.62534093856812,"[180, 50, 100000, 4, 0.5]",1
0.6808393319569582,155,600101,307,1874,270677223,1660,92584,58.78346439384544,174,50,79.15866406380559,34991,1379198417,2082,1104216940,1634,70,14755,314620878,550.87,240.65726828575134,"[180, 50, 100000, 4, 0.5]",1
0.4884167129372007,34,8093,328,449,773845027,4991,543860,47.54040536276768,732,202,95.40812632066627,27997,1647282220,6627,1888890790,6293,112,40060,589194271,549.99,239.36498832702637,"[180, 50, 100000, 4, 0.5]",1
0.26024931683096514,253,414555,688,2912,1362733167,6901,62388,20.148366202992737,844,127,88.49075082002112,74297,800313521,6237,640185960,7084,210,30727,650471944,547.56,241.35219883918762,"[180, 50, 100000, 4, 0.5]",1
0.8743892549531481,247,648075,522,1151,236692411,8340,79809,1.8786204249642109,550,13,25.170329590331765,49499,1020209577,1436,1403878624,3207,112,49898,848943098,546.48,239.24271178245544,"[180, 50, 100000, 4, 0.5]",1
