fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
On,Off,On,Off,On,On,On,On,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,0.0657646656036377,3.1222376823425293,"[80, 35, 2, 2, 15]",0
On,Off,Off,Off,On,On,On,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,On,0.07213234901428223,3.0547983646392822,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,0.07606196403503418,3.0457210540771484,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,0.07718324661254883,2.9769513607025146,"[80, 35, 2, 2, 15]",0
Off,Off,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,On,On,On,On,0.07795524597167969,3.1471707820892334,"[80, 35, 2, 2, 15]",0
On,Off,On,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,On,0.07912302017211914,3.04624605178833,"[80, 35, 2, 2, 15]",0
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,On,On,On,On,On,Off,0.07914543151855469,3.1229822635650635,"[80, 35, 2, 2, 15]",0
On,Off,On,Off,On,On,On,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,0.07943320274353027,2.946012258529663,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,On,On,On,On,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,0.07969093322753906,3.036302328109741,"[80, 35, 2, 2, 15]",0
On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,0.07988476753234863,3.0494656562805176,"[80, 35, 2, 2, 15]",0
On,On,Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,Off,0.08057618141174316,3.038187265396118,"[80, 35, 2, 2, 15]",0
On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,Off,On,On,On,Off,0.08167362213134766,3.0303807258605957,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,On,Off,0.08220624923706055,2.942000150680542,"[80, 35, 2, 2, 15]",0
On,Off,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,0.0827631950378418,3.0252270698547363,"[80, 35, 2, 2, 15]",0
Off,Off,On,On,On,Off,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,0.08323335647583008,3.02604341506958,"[80, 35, 2, 2, 15]",0
On,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,On,Off,On,Off,0.08360075950622559,3.07928729057312,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,0.0843210220336914,2.965060234069824,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,Off,Off,On,Off,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,0.0845327377319336,3.017765760421753,"[80, 35, 2, 2, 15]",0
Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,0.08487844467163086,2.9984676837921143,"[80, 35, 2, 2, 15]",0
Off,Off,Off,On,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,0.08516049385070801,3.0012805461883545,"[80, 35, 2, 2, 15]",0
