inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,5,3,1,5,0.5878787878787878,2.843847155570984,0
50,5,1,1,5,-0.33333333333333326,2.838235068321228,0
70,5,3,1,5,-0.06666666666666665,2.844197940826416,1
60,25,2,4,15,0.5515151515151515,3.0678368330001833,1
50,15,3,1,20,0.3939393939393939,2.969597029685974,1
90,15,2,3,10,0.38181818181818183,2.9408434867858886,1
70,5,2,1,5,0.29696969696969694,2.8808162450790404,1
50,15,1,4,5,0.32121212121212117,2.900772142410278,1
50,15,1,1,5,0.006060606060606061,2.850112247467041,1
70,5,3,1,15,0.1515151515151515,2.8691977739334105,1
