threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,35,50,True,0.9636363636363635,50.10502915382385,0
8,40,15,True,0.9151515151515152,15.088145732879639,0
8,35,10,True,0.8787878787878788,10.079360508918763,0
8,50,10,True,0.7939393939393938,10.071996641159057,0
8,50,55,True,0.9878787878787878,55.12354941368103,0
8,30,30,True,0.9636363636363635,30.08833782672882,0
8,45,50,True,0.9636363636363635,50.123574471473695,0
8,35,25,True,0.8666666666666665,25.090447759628297,1
8,35,55,True,0.9636363636363635,55.12444236278534,1
8,25,35,True,0.9151515151515152,35.0994313955307,1
