8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,evaluated_time,fidelity_setting,corr
0,p8x8,2,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,321,1,dia,60,0,1,vbr,0,10.07,10.202862977981567,"['Action', '1080p', 60, '20s']",1
0,p4x4,2,0.4498679550631097,0,4,1,2,28.58475890485096,-4:4,none,1,445,0,hex,17,1,0,none,0,10.68,10.842072010040283,"['Action', '1080p', 60, '20s']",1
0,p4x4,2,0.4498679550631097,0,6,1,-6,28.58475890485096,-4:4,none,0,256,0,hex,4,0,1,none,1,10.99,11.135196447372437,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,11.04,11.202881574630737,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.8900625634323396,1,6,0,1,19.919897942002866,6:-6,spatial,1,326,3,dia,4,0,1,vbr,1,11.2,11.35331392288208,"['Action', '1080p', 60, '20s']",1
0,p4x4,2,0.4498679550631097,1,14,1,2,29.585346184273632,0:0,auto,1,79,0,umh,12,1,0,vbr,0,11.53,11.67595386505127,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.8900625634323396,1,12,0,7,19.919897942002866,6:6,none,0,256,0,hex,22,0,0,none,1,11.57,11.736394882202148,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,0.4498679550631097,0,16,0,0,28.58475890485096,-4:4,temporal,1,326,0,hex,12,1,1,none,1,11.64,11.797349452972412,"['Action', '1080p', 60, '20s']",1
0,p4x4,2,0.8900625634323396,1,9,1,7,19.919897942002866,0:0,none,1,79,0,hex,12,1,1,vbr,0,11.64,11.791906833648682,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,0.4498679550631097,0,6,0,-4,28.58475890485096,-4:4,none,0,256,3,dia,22,0,0,none,1,11.73,11.854316711425781,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,0.4498679550631097,1,14,1,0,29.585346184273632,0:0,auto,1,79,0,umh,12,0,0,vbr,1,11.85,11.986296653747559,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.8900625634323396,1,12,0,7,19.919897942002866,6:-6,none,1,326,0,hex,4,0,1,vbr,1,12.03,12.178795099258423,"['Action', '1080p', 60, '20s']",1
0,p8x8,3,0.4498679550631097,0,16,1,0,28.58475890485096,-4:4,none,1,445,0,hex,12,1,0,none,0,12.05,12.202365159988403,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,12,0,-1,29.585346184273632,0:0,spatial,1,326,2,hex,22,0,0,none,0,12.13,12.280768394470215,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,0.4498679550631097,1,12,1,2,29.585346184273632,0:0,spatial,1,79,0,umh,22,0,0,none,0,12.13,12.27427053451538,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.8900625634323396,1,6,0,-4,19.919897942002866,6:6,spatial,0,256,3,dia,22,0,0,none,1,12.27,12.42018985748291,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,0.4498679550631097,1,9,1,7,16.60761245102158,5:5,spatial,1,79,0,dia,17,1,1,vbr,1,12.32,12.48112678527832,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.2932080819328864,0,9,1,7,16.60761245102158,5:5,spatial,1,326,0,dia,17,0,1,none,1,12.38,12.540654420852661,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.4498679550631097,1,12,1,0,28.58475890485096,-4:4,none,1,79,0,hex,12,0,0,none,1,12.48,12.615996837615967,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.2932080819328864,0,14,1,1,29.585346184273632,0:0,auto,1,326,0,umh,12,0,0,none,0,12.54,12.685259342193604,"['Action', '1080p', 60, '20s']",1
