maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
349,373,9297,39484,38075,380,186,false,46411,true,125058,24771,5266,true,43682,30359,43592,619,251824,2,1442.83,20.082345724105835,"[6, 30, 20, False]",0
4298,242,44304,3240,20800,31,280,false,24022,false,464902,38856,67084,false,19291,24314,55050,217,285291,2,1362.53,20.07522487640381,"[6, 30, 20, False]",0
11914,752,43310,38719,65359,297,72,false,52566,true,430598,7270,72499,true,8537,25039,40984,928,31057,4,1447.81,20.068517923355103,"[6, 30, 20, False]",0
10646,117,14287,19342,16621,228,496,true,46767,false,445318,13400,48029,false,32450,11527,45184,500,287306,5,1276.98,20.070891857147217,"[6, 30, 20, False]",0
5736,91,351,29691,15389,354,228,false,37434,false,308061,6391,76078,true,61194,34012,44051,460,35802,7,1332.11,20.07555913925171,"[6, 30, 20, False]",0
16086,38,48118,59405,38990,163,113,false,58414,true,306377,4865,80660,true,62199,18188,8732,814,52825,8,1373.43,20.082791805267334,"[6, 30, 20, False]",0
6254,901,31506,25428,89981,315,186,false,50535,true,512737,8025,82702,true,56761,35435,63425,153,343290,8,1326.24,20.072998523712158,"[6, 30, 20, False]",0
9476,359,14790,56476,95149,284,349,true,30506,true,437880,47060,37404,false,57414,5697,55237,480,339205,9,1318.07,20.079670906066895,"[6, 30, 20, False]",0
9968,610,52255,32811,60484,421,194,true,22741,true,367932,53524,93903,false,12890,9144,27961,751,132721,4,1414.84,20.08032774925232,"[6, 30, 20, False]",0
11104,466,41425,12142,7963,406,264,true,9992,true,514043,14233,72616,false,5910,31122,45900,502,311343,7,1351.21,20.080211877822876,"[6, 30, 20, False]",0
3879,592,12113,18986,79825,94,400,true,17562,false,111770,30632,4750,false,22827,61511,21204,79,417073,8,1415.29,20.080397605895996,"[6, 30, 20, False]",0
10348,944,43350,7200,69627,452,483,false,44911,false,588921,16829,44564,false,48051,49301,15765,385,98454,3,1373.02,20.07705068588257,"[6, 30, 20, False]",0
6305,95,57396,42908,74815,126,155,true,21386,true,593938,25425,33130,false,30281,57432,21684,332,348433,6,1447.18,20.071486949920654,"[6, 30, 20, False]",0
5878,672,7186,33618,87608,1,202,true,58661,false,397405,21572,67553,false,40517,1814,61693,865,564286,2,1445.19,20.085885047912598,"[6, 30, 20, False]",0
7365,734,3125,55220,31076,398,408,true,48956,false,152220,30266,88571,true,29150,21908,45469,287,446817,2,1326.56,20.07620620727539,"[6, 30, 20, False]",0
15306,890,39053,41112,2387,274,150,false,33879,false,30856,59065,40583,false,6992,10111,15528,88,258078,5,1369.72,20.077181577682495,"[6, 30, 20, False]",0
16050,14,34911,22906,64534,134,307,false,5061,true,144308,33044,61174,false,18247,53401,63894,830,542792,2,1346.84,20.077199935913086,"[6, 30, 20, False]",0
13755,488,25506,47860,93330,92,165,false,44606,false,570750,37340,40085,true,37649,22426,48500,805,176646,4,1373.16,20.07200860977173,"[6, 30, 20, False]",0
10263,809,30742,48648,26410,425,34,true,10762,true,57362,21059,5850,true,1437,51907,39232,524,270175,10,1441.97,20.07594895362854,"[6, 30, 20, False]",0
12718,304,32386,32582,48667,320,355,true,37870,false,349951,51132,98599,false,5715,40889,37891,744,224244,4,1427.19,20.070432901382446,"[6, 30, 20, False]",0
13644,27,19520,35469,89240,66,281,false,29302,true,325238,20405,12525,true,45988,45075,60016,565,290179,10,1449.78,20.074646949768066,"[6, 30, 20, False]",0
6972,0,21958,12580,77360,192,482,true,14167,true,194177,12234,54860,true,52925,36562,53233,62,85489,10,1436.44,20.07248067855835,"[6, 30, 20, False]",0
11270,709,6835,58641,55380,72,465,false,20866,true,136245,55648,87783,true,46724,50948,51283,611,117331,4,1441.99,20.071015119552612,"[6, 30, 20, False]",0
6204,146,15464,49917,45921,143,176,true,1678,false,40194,10432,83307,true,20633,9003,12994,257,165308,9,1433.93,20.076545476913452,"[6, 30, 20, False]",0
7466,394,18610,23399,2932,8,71,false,29710,true,546174,18645,34934,true,6687,37523,2489,400,305540,1,1379.97,20.075143337249756,"[6, 30, 20, False]",0
5994,853,13134,32061,56366,226,427,true,56937,false,428936,15058,50222,false,10154,64111,49789,991,16514,3,1358.31,20.077316522598267,"[6, 30, 20, False]",0
3493,916,56800,18484,38811,474,485,true,52205,false,517747,40698,62774,true,15038,41761,9459,182,482003,2,1359.07,20.07062292098999,"[6, 30, 20, False]",0
1075,674,26529,37774,57215,408,114,false,47725,true,473274,26669,85539,true,34906,26116,3183,916,493804,9,1375.14,20.06657361984253,"[6, 30, 20, False]",0
13429,745,13172,20975,11865,331,286,false,55298,true,467001,3563,66508,true,57829,2967,6545,319,26801,3,1422.44,20.077404260635376,"[6, 30, 20, False]",0
3239,362,22483,50511,14444,306,128,false,50087,true,109770,43120,27725,false,14520,2638,24295,922,535433,6,1378.93,20.074286937713623,"[6, 30, 20, False]",0
13230,253,2929,16077,36359,42,490,false,43675,true,466371,10311,58995,true,24427,38975,14965,32,109671,5,1321.72,20.081282138824463,"[6, 30, 20, False]",0
7961,557,8512,1473,73790,68,198,true,53046,false,282443,31616,94734,false,63211,11677,65065,121,450510,3,1360.98,20.080883979797363,"[6, 30, 20, False]",0
14187,532,44888,20478,79603,168,476,true,38021,true,111081,7433,7669,false,37429,20311,26389,557,73996,8,1415.23,20.07371973991394,"[6, 30, 20, False]",0
12121,367,26034,11756,41896,82,488,false,20569,true,567987,4399,51650,true,370,4205,12286,446,148071,3,1451.96,20.072858333587646,"[6, 30, 20, False]",0
18582,838,24854,30662,25810,450,289,true,34208,false,96656,48268,17225,false,28544,16089,1200,818,510605,5,1332.65,20.068293571472168,"[6, 30, 20, False]",0
5005,284,8933,27572,91625,459,28,false,27823,false,22283,37068,261,false,30523,15223,47107,656,284043,2,1310.45,20.082488775253296,"[6, 30, 20, False]",0
