fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
Off,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,On,0.07146787643432617,38.338770151138306,"[10, 50, 6, 4, 50]",1
Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,Off,Off,On,0.0734102725982666,38.27231502532959,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,On,On,On,On,Off,On,On,0.07478213310241699,38.221118450164795,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,Off,On,On,0.07591557502746582,38.15398716926575,"[10, 50, 6, 4, 50]",1
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,On,On,Off,On,0.07653594017028809,38.2139253616333,"[10, 50, 6, 4, 50]",1
Off,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,Off,0.0779416561126709,38.24742674827576,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,On,On,On,0.07832145690917969,38.22458028793335,"[10, 50, 6, 4, 50]",1
Off,On,On,On,On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,On,On,On,0.07877540588378906,38.56182551383972,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,0.0790548324584961,38.206868410110474,"[10, 50, 6, 4, 50]",1
On,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,On,On,0.0793752670288086,38.129531145095825,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,On,Off,Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,0.08007192611694336,38.1288685798645,"[10, 50, 6, 4, 50]",1
Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,Off,Off,On,0.08017945289611816,38.2812294960022,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.08022427558898926,38.20928692817688,"[10, 50, 6, 4, 50]",1
Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,On,On,On,On,Off,On,On,Off,0.08049488067626953,38.31458330154419,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,On,0.08089995384216309,38.266746282577515,"[10, 50, 6, 4, 50]",1
On,On,On,On,Off,On,On,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,On,0.08140683174133301,38.295995473861694,"[10, 50, 6, 4, 50]",1
Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,On,On,Off,On,On,0.08149266242980957,38.1653995513916,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,On,0.08153820037841797,38.206302881240845,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,On,0.08162283897399902,38.273043394088745,"[10, 50, 6, 4, 50]",1
Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,Off,0.08188390731811523,38.286967515945435,"[10, 50, 6, 4, 50]",1
