time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.7939393939393938,73.89972350597381,0
30,25,15000,4,0.5,0.6121212121212121,39.24586651325226,0
40,40,50000,8,0.5,0.6363636363636362,88.07192633152007,1
30,25,15000,8,0.5,0.5757575757575757,42.42479948997497,1
30,25,15000,8,0.6,-0.07878787878787878,42.30544092655182,1
30,25,15000,10,0.5,0.6,44.126321411132814,1
30,25,15000,8,0.9,0.35757575757575755,42.45726945400238,2
30,30,25000,10,0.5,0.5878787878787878,54.911909341812134,2
35,35,25000,4,0.5,0.38181818181818183,50.12293932437897,2
35,25,15000,8,0.6,0.29696969696969694,47.3054625749588,3
