innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
764,883872133,273,723856191,134149651,502128574,38470,727874373,2,30,11958490074,29800,381839971,99,85185594,minimal,388,98988328,100,629093,396.67,259.74902153015137,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,976461799,91345,145852677,0,27,11958490074,13445,381839971,99,85185594,minimal,388,14325860,100,800183,391.68,248.07444548606873,"[180, 50, 100000, 4, 0.5]",1
438,918766107,273,1027736984,10851721,502128574,3450,539027956,0,24,11714240610,13445,381839971,123,56726546,full,3080,14325860,100,629093,384.75,249.1827323436737,"[180, 50, 100000, 4, 0.5]",1
438,918766107,273,934967446,10851721,502128574,3450,781109511,0,24,11714240610,13445,381839971,123,56726546,full,3080,14325860,100,629093,390.83,246.84332489967346,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,976461799,38470,727874373,2,30,11958490074,29800,381839971,99,85185594,minimal,388,98988328,100,725375,363.48,251.11739134788513,"[180, 50, 100000, 4, 0.5]",1
764,519031829,273,723856191,10851721,502128574,107108,727874373,2,30,11958490074,13445,381839971,99,85185594,minimal,6089,14325860,100,629093,371.21,247.9322316646576,"[180, 50, 100000, 4, 0.5]",1
228,519031829,273,723856191,64038088,502128574,107108,540363962,0,24,11958490074,29800,381839971,123,85185594,full,388,14325860,100,161556,374.26,251.18474173545837,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,10851721,976461799,107108,145852677,2,27,11958490074,13445,381839971,99,85185594,minimal,6089,14325860,100,161556,390.26,254.59824538230896,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,502128574,107108,145852677,2,30,11958490074,29800,381839971,99,85185594,minimal,388,14325860,100,161556,369.8,249.42888164520264,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,976461799,107108,727874373,2,30,13721614410,29800,381839971,99,85185594,minimal,6089,14325860,100,725375,378.84,247.1293647289276,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,91033407,486318941,107108,145852677,2,27,13721614410,13445,381839971,99,85185594,minimal,6089,14325860,100,161556,379.16,247.8166754245758,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,502128574,38470,727874373,2,30,11925947086,15398,381839971,99,8722997,noblob,1100,14325860,100,629093,371.21,257.52675676345825,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,976461799,91345,145852677,2,30,11958490074,13445,381839971,99,85185594,minimal,388,14325860,100,800183,372.57,251.91081595420837,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,502128574,107108,145852677,0,27,11958490074,29800,393715133,99,85185594,minimal,388,14325860,100,161556,375.28,251.7611014842987,"[180, 50, 100000, 4, 0.5]",1
881,806317250,822,411224433,62790775,514199765,10522,145852677,2,24,11925947086,12203,1403366299,128,8722997,noblob,1100,130097351,35,161556,329.66,242.88772439956665,"[180, 50, 100000, 4, 0.5]",1
515,883872133,273,723856191,134149651,976461799,91345,727874373,2,30,11958490074,15398,381839971,99,85185594,noblob,3344,14325860,100,800183,362.22,257.22621154785156,"[180, 50, 100000, 4, 0.5]",1
764,519031829,273,1018095420,64038088,502128574,91345,727874373,0,30,12287117668,13445,381839971,34,85185594,full,388,14325860,78,800183,371.01,246.87909626960754,"[180, 50, 100000, 4, 0.5]",1
764,316882098,273,723856191,134149651,976461799,38470,145852677,2,30,11958490074,29800,381839971,99,85185594,minimal,388,14325860,100,725375,366.54,255.2170479297638,"[180, 50, 100000, 4, 0.5]",1
438,918766107,273,934967446,10851721,502128574,3450,781109511,0,24,11714240610,13445,381839971,123,56726546,full,388,14325860,100,629093,376.24,249.2876579761505,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,64038088,502128574,91345,727874373,2,30,11958490074,29800,381839971,122,85185594,noblob,388,98988328,100,629093,360.28,253.90254759788513,"[180, 50, 100000, 4, 0.5]",1
