innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
764,883872133,273,723856191,134149651,502128574,38470,727874373,2,30,11958490074,29800,381839971,99,85185594,minimal,388,98988328,100,629093,396.67,259.74902153015137,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,10851721,976461799,107108,145852677,2,27,11958490074,13445,381839971,99,85185594,minimal,6089,14325860,100,161556,390.26,254.59824538230896,"[180, 50, 100000, 4, 0.5]",1
881,806317250,822,411224433,62790775,514199765,10522,145852677,2,24,11925947086,12203,1403366299,128,8722997,noblob,1100,130097351,35,161556,329.66,242.88772439956665,"[180, 50, 100000, 4, 0.5]",1
764,519031829,273,723856191,64038088,502128574,91345,727874373,0,30,12287117668,13445,381839971,34,85185594,full,388,14325860,72,800183,375.43,253.26608896255493,"[180, 50, 100000, 4, 0.5]",1
228,519031829,273,723856191,64038088,976461799,107108,540363962,0,24,12287117668,13445,381839971,123,85185594,full,6089,14325860,100,800183,374.42,247.0784673690796,"[180, 50, 100000, 4, 0.5]",1
515,918766107,750,934967446,10851721,976461799,3450,217276430,2,42,11714240610,13445,381839971,99,56726546,minimal,7687,14325860,27,161556,348.04,249.46277403831482,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,64038088,502128574,128443,781109511,0,24,14804411718,29800,381839971,123,85185594,full,388,14325860,100,629093,381.63,249.66410899162292,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,717411957,63363065,976461799,107108,145852677,2,27,11958490074,13445,3410319997,99,85185594,full,6089,14325860,100,161556,370.99,243.88757491111755,"[180, 50, 100000, 4, 0.5]",1
453,358896741,498,97780379,57811915,981627916,123786,62583242,2,60,10688345842,18210,3821807442,107,61175324,full,2852,78944846,71,712136,384.49,257.95847964286804,"[180, 50, 100000, 4, 0.5]",1
515,187430095,498,97780379,77372116,581583056,128443,781109511,2,27,10688345842,28089,2140668270,99,85185594,full,6089,14325860,77,138154,372.12,245.976989030838,"[180, 50, 100000, 4, 0.5]",1
440,519031829,273,717411957,63363065,378211402,107108,145852677,2,27,11958490074,26132,1013362171,44,85185594,full,6089,85651165,100,990213,364.26,248.50214219093323,"[180, 50, 100000, 4, 0.5]",1
228,519031829,273,723856191,64038088,976461799,107108,540363962,0,24,12287117668,13445,381839971,123,72930769,full,6089,14325860,100,800183,364.72,246.61861848831177,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,717411957,63363065,976461799,107108,145852677,2,27,11958490074,13445,381839971,99,85185594,full,6089,14325860,100,161556,366.04,253.79992294311523,"[180, 50, 100000, 4, 0.5]",1
453,358896741,273,723856191,57811915,981627916,123786,62583242,2,60,11958490074,18210,3821807442,107,61175324,full,2852,78944846,71,161556,358.65,257.7236988544464,"[180, 50, 100000, 4, 0.5]",1
764,789653693,1375,529970209,62790775,502128574,10522,540363962,2,30,14804411718,12203,2354212710,34,73870787,minimal,388,98988328,72,629093,309.61,252.3924126625061,"[180, 50, 100000, 4, 0.5]",1
228,519031829,273,723856191,64038088,976461799,107108,21606595,0,24,12287117668,13445,2981966149,123,85185594,full,6089,14325860,100,800183,370.28,258.8209972381592,"[180, 50, 100000, 4, 0.5]",1
881,883872133,822,411224433,134149651,514199765,38470,727874373,2,24,11925947086,29800,1403366299,128,8722997,noblob,1100,130097351,35,800183,332.3,252.97452306747437,"[180, 50, 100000, 4, 0.5]",1
515,806317250,822,411224433,10851721,581583056,10522,145852677,2,27,11958490074,12203,3774398575,99,95967694,minimal,5344,60374783,9,161556,333.19,255.60151648521423,"[180, 50, 100000, 4, 0.5]",1
440,395101532,273,723856191,63363065,976461799,107108,145852677,2,27,11958490074,26132,1013362171,44,56726546,minimal,6089,14325860,46,161556,370.26,245.83225965499878,"[180, 50, 100000, 4, 0.5]",1
515,209629070,273,717411957,63363065,976461799,107108,145852677,2,27,11958490074,13445,1013362171,99,85185594,full,6089,14325860,100,639784,369.32,253.86771178245544,"[180, 50, 100000, 4, 0.5]",1
