time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,25,15000,8,0.5,0.7212121212121211,42.74127399921417,0
30,30,25000,8,0.5,0.9151515151515152,51.19977536201477,0
30,30,25000,6,0.8,0.9030303030303028,47.156006026268,0
30,20,25000,8,0.5,0.8666666666666665,44.916104316711426,0
55,30,15000,6,0.5,0.9515151515151514,67.29422764778137,0
30,30,25000,6,0.5,0.7696969696969697,47.794001650810245,1
55,35,35000,10,0.5,0.9151515151515152,90.75091788768768,1
40,30,30000,10,0.5,0.9030303030303028,68.3614640712738,1
40,40,15000,4,0.5,0.8303030303030302,52.64956262111664,1
30,30,25000,10,0.5,0.8787878787878788,54.980493021011355,1
