inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,35,1,3,10,0.29696969696969694,2.803723669052124,0
80,10,2,2,5,-0.406060606060606,2.7966951370239257,0
70,10,1,3,10,0.7212121212121211,2.8501545190811157,0
50,35,1,4,5,0.406060606060606,2.8246289491653442,0
80,25,1,2,35,-0.11515151515151514,2.7979142665863037,0
60,10,2,2,5,-0.01818181818181818,2.808073377609253,1
50,35,1,3,5,0.09090909090909088,2.8185814380645753,1
70,35,1,4,10,0.5636363636363636,2.866924285888672,1
50,10,1,2,5,0.35757575757575755,2.8399023532867433,1
50,10,1,1,5,-0.1515151515151515,2.8107014179229735,2
