8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,p4x4,1,0.6698010465043209,2,12,0,11,23.295120580274137,-6:6,temporal,0,97,4,dia,57,1,0,vbr,0,47.59,47.59,418.302164,30.557823,12838.276914,25.37,47.85903787612915,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,1.2776016784862028,1,7,1,-7,7.841845546587156,6:-6,auto,1,385,3,dia,4,0,1,none,0,17.16,17.16,1276.282051,122.844311,51610.655299,70.65,17.32268524169922,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.9093442325930086,2,13,0,-9,31.496816196985893,6:6,temporal,0,43,3,dia,54,1,0,cbr,1,55.42,55.42,334.04908,14.582215,6126.435023,21.66,55.560699701309204,"['Action', '1080p', 60, '20s']"
0,p4x4,2,1.911532185562115,0,10,1,-1,1.2134050920272186,2:-2,auto,0,368,1,umh,46,0,0,cbr,0,25.45,25.45,1162.632613,325.439421,136727.062559,47.43,25.645533800125122,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",2,0.2922784673232155,2,9,1,-1,6.4499679005216635,4:4,none,0,411,4,esa,31,0,0,vbr,0,79.7,79.7,1407.515684,119.78601,50325.769444,15.06,79.8643102645874,"['Action', '1080p', 60, '20s']"
1,all,3,0.6076115582735653,0,5,1,4,26.250676150511897,2:2,temporal,0,280,2,hex,61,1,0,vbr,0,20.49,20.49,957.442655,24.686092,10371.383066,58.95,20.642972230911255,"['Action', '1080p', 60, '20s']"
0,p4x4,2,0.7963403618786435,2,2,0,4,10.174466570197579,0:0,spatial,1,290,1,dia,42,1,0,vbr,0,20.41,20.41,534.492896,91.980978,38644.024463,59.02,20.5653395652771,"['Action', '1080p', 60, '20s']"
0,all,3,1.4611206561082022,0,8,1,-2,20.186479088957697,3:3,spatial,0,460,4,tesa,35,1,0,cbr,0,103.49,103.49,1309.962315,47.275002,19861.675261,11.59,103.65254616737366,"['Action', '1080p', 60, '20s']"
1,all,2,1.9153666297934544,1,10,1,-6,39.284584335248084,4:4,spatial,0,196,0,esa,28,1,0,cbr,1,23.38,23.38,1350.727117,5.310132,2230.949011,51.59,23.526785135269165,"['Action', '1080p', 60, '20s']"
1,none,2,0.2446535812051993,1,16,1,-11,48.15527367152155,1:1,auto,1,56,3,tesa,52,1,0,cbr,1,27.76,27.76,1269.992795,2.680208,1126.03751,43.31,27.904139280319214,"['Action', '1080p', 60, '20s']"
