maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
1952,244,24026,86,18602,139,8,true,42040,true,578595,35583,47911,false,60056,29438,44105,477,357046,9,2964.6,361.1925320625305,"[8, 50, 180, True]",1
19931,234,5217,86,67610,259,8,true,43482,true,578595,35583,19210,true,60056,51766,44105,553,116083,9,2921.52,361.20957350730896,"[8, 50, 180, True]",1
18757,969,11680,86,67610,189,8,true,15379,true,578595,24593,19210,true,58159,27871,44917,477,453703,5,2871.71,361.20891404151917,"[8, 50, 180, True]",1
18757,969,11680,86,67610,189,8,true,47983,true,578595,37682,19210,true,58159,51766,44917,886,116083,3,2768.21,180.08832097053528,"[8, 50, 180, True]",1
17611,969,11680,12685,47064,184,168,false,47983,false,187800,9066,68353,false,29610,43387,31151,275,354082,4,2741.67,180.11616110801697,"[8, 50, 180, True]",1
18757,969,11680,44502,17709,87,164,false,4618,false,7489,25695,95885,true,22573,47058,43968,523,541485,5,2732.54,180.11762928962708,"[8, 50, 180, True]",1
7244,244,24026,23519,18602,185,168,true,15379,true,578595,35583,58595,false,32895,27871,28237,477,453703,5,2723.81,180.12182331085205,"[8, 50, 180, True]",1
18757,969,11680,12685,58622,189,168,false,47983,false,67107,9066,68353,true,58159,43387,31151,886,354082,4,2722.79,180.10794854164124,"[8, 50, 180, True]",1
18757,933,53748,44502,17709,87,95,false,4618,false,7489,59468,95885,true,58159,17350,42039,523,458841,5,2722.34,180.11173462867737,"[8, 50, 180, True]",1
7244,605,20514,23519,50644,185,168,false,15379,false,146307,40453,23838,false,32895,27871,28237,976,453703,5,2716.33,180.1074640750885,"[8, 50, 180, True]",1
18757,933,53748,44502,17709,185,95,false,15379,true,578595,59468,58595,false,32895,17350,42039,477,458841,5,2716.21,180.10709834098816,"[8, 50, 180, True]",1
1520,969,15900,38522,58059,184,168,false,31859,false,187800,37682,32968,false,45175,47058,44170,275,354082,3,2716.15,180.10099983215332,"[8, 50, 180, True]",1
17611,933,54762,40757,47064,184,164,false,47983,false,187800,37682,95885,false,29610,17350,44917,275,202237,3,2715.24,180.11979389190674,"[8, 50, 180, True]",1
1520,969,11680,40757,58059,106,164,false,54796,true,187800,39299,40023,true,118,47058,43968,886,486936,5,2714.22,180.10896921157837,"[8, 50, 180, True]",1
7244,244,24026,23519,18602,87,168,true,4618,false,7489,35583,95885,true,58159,27871,28237,523,453703,5,2713.94,180.08174896240234,"[8, 50, 180, True]",1
18757,933,54762,40757,58622,189,164,false,47983,false,67107,37682,95885,true,58159,17350,44917,886,202237,3,2712.51,180.11866235733032,"[8, 50, 180, True]",1
1520,933,53748,40757,58059,106,90,false,54796,true,187800,39299,40023,true,118,16522,42039,886,539183,5,2710.27,180.10547614097595,"[8, 50, 180, True]",1
1520,969,11680,40757,58059,106,164,false,47983,true,187800,37682,68353,true,45175,47058,44917,886,354082,3,2709.7,180.12396717071533,"[8, 50, 180, True]",1
17611,605,15900,38522,50644,184,168,false,31859,false,321050,9066,32968,false,53469,58953,44170,275,453703,4,2709.15,180.1080882549286,"[8, 50, 180, True]",1
17611,605,15900,38522,17709,115,168,false,47983,false,187800,9066,32968,false,58159,47058,44170,886,453703,4,2707.32,180.12478756904602,"[8, 50, 180, True]",1
