innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
1,438361456,885,668816864,39773461,487557198,99145,454039566,0,82,11058742102,6997,552296809,80,128936655,minimal,6309,57386553,35,166574,653.68,39.581326961517334,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,487557198,99145,737301615,0,45,11058742102,9689,1887277066,80,128936655,minimal,6309,57386553,79,166574,650.08,41.428757190704346,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,763954793,99145,621246407,0,45,14635569337,7510,3972601431,80,117349993,full,9726,57386553,36,166574,648.66,39.814290285110474,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,737301615,0,15,12285454011,9689,552296809,80,15305634,full,6309,57386553,79,166574,643.33,39.476091623306274,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,487557198,99145,36102008,0,82,15002628560,9689,552296809,80,15305634,full,6309,57386553,79,166574,640.93,39.42795491218567,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,770891505,99145,925734944,0,92,11058742102,6997,57732487,80,61771304,noblob,7266,57386553,79,166574,640.1,39.6959502696991,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,433410233,979,21853957,82935891,409689374,111389,460496241,2,45,10775453235,21577,753086031,15,40860915,full,7455,15859366,36,789540,636.0,40.93079876899719,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,438242662,0,60,11058742102,9689,1887277066,15,51021161,full,6309,57386553,79,166574,631.4,39.549376487731934,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,487557198,99145,737301615,0,82,11058742102,9689,552296809,80,128936655,minimal,6309,57386553,79,166574,631.16,39.39007496833801,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,487557198,99145,454039566,0,82,12285454011,9689,2231309934,17,128936655,minimal,7417,57386553,35,166574,630.56,39.6626513004303,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,737301615,0,15,14635569337,7510,3972601431,80,117349993,noblob,9726,57386553,79,166574,630.49,39.68667531013489,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,621246407,0,15,12285454011,9689,552296809,115,15305634,full,6309,131578473,36,166574,628.19,39.45180130004883,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,621246407,0,45,14636342603,9689,3972601431,80,39260492,full,6309,57386553,79,166574,627.89,39.7295286655426,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,621246407,0,15,12285454011,9689,552296809,115,15305634,full,6309,57386553,36,166574,627.53,39.58723306655884,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,454039566,0,82,14635569337,6997,552296809,80,128936655,minimal,9726,57386553,79,166574,626.71,39.46099591255188,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,621246407,0,66,11058742102,7510,1887277066,80,128936655,full,6309,57386553,36,166574,626.62,39.92540264129639,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,14597973,979,21853957,82935891,487557198,99145,711332035,0,45,11058742102,6997,753086031,15,40860915,full,6309,57386553,79,789540,625.47,39.452457904815674,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,621246407,0,45,14635569337,7510,3972601431,80,128936655,full,6309,57386553,36,166574,625.47,39.6899676322937,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,770891505,99145,925734944,0,92,11058742102,27829,1887277066,15,61771304,full,7266,57386553,79,166574,625.07,39.716190576553345,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,129620675,487557198,111389,460496241,2,45,10775453235,9689,552296809,80,40860915,full,6309,57386553,79,789540,624.77,39.73830223083496,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
