innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
1,438361456,885,21853957,39773461,763954793,99145,621246407,0,45,14635569337,7510,3972601431,80,117349993,full,9726,57386553,36,166574,648.66,39.814290285110474,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,737301615,0,15,12285454011,9689,552296809,80,15305634,full,6309,57386553,79,166574,643.33,39.476091623306274,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,433410233,979,21853957,82935891,409689374,111389,460496241,2,45,10775453235,21577,753086031,15,40860915,full,7455,15859366,36,789540,636.0,40.93079876899719,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,438242662,0,60,11058742102,9689,1887277066,15,51021161,full,6309,57386553,79,166574,631.4,39.549376487731934,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,21853957,39773461,487557198,99145,621246407,0,45,14636342603,9689,3972601431,80,39260492,full,6309,57386553,79,166574,627.89,39.7295286655426,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,621246407,0,66,11058742102,7510,1887277066,80,128936655,full,6309,57386553,36,166574,626.62,39.92540264129639,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,770891505,99145,925734944,0,92,11058742102,27829,1887277066,15,61771304,full,7266,57386553,79,166574,625.07,39.716190576553345,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,487557198,99145,711332035,0,45,11058742102,6997,1887277066,80,128936655,minimal,6309,57386553,79,166574,624.23,39.48714566230774,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,438242662,0,82,11058742102,6997,1887277066,15,51021161,full,6309,57386553,79,166574,623.96,39.39298677444458,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,668816864,39773461,487557198,99145,621246407,0,45,14636342603,1573,2431228042,80,39260492,full,6309,57386553,79,166574,623.36,39.93090629577637,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,487557198,99145,737301615,2,38,14635569337,1573,1887277066,80,128936655,minimal,6309,91487092,79,166574,622.97,39.45567274093628,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,433410233,979,21853957,39773461,614889185,23174,1021272669,0,8,10775453235,21577,3972601431,7,39260492,full,6309,91487092,81,166574,622.79,39.96736454963684,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,668816864,39773461,670981241,59454,925734944,0,92,10775453235,27829,1285759465,80,39260492,full,7266,15859366,36,166574,622.51,39.64392328262329,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,82935891,409689374,111389,460496241,0,45,10775453235,9689,753086031,80,40860915,full,6309,57386553,36,789540,620.25,39.90972852706909,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,21853957,39773461,77894584,59454,621246407,2,45,14635569337,9689,3409262957,80,128936655,full,6309,57386553,79,166574,618.9,39.48786759376526,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,487557198,99145,621246407,0,45,11058742102,9689,1887277066,80,128936655,minimal,6309,57386553,79,166574,618.06,40.78958296775818,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,885,668816864,39773461,763954793,99145,621246407,0,82,11058742102,8260,1887277066,80,128936655,minimal,9726,57386553,79,166574,616.76,39.37964582443237,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,433410233,979,668816864,39773461,614889185,23174,621246407,0,66,11058742102,1573,1887277066,23,39260492,full,6309,99140978,79,166574,615.6,39.91578269004822,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,668816864,39773461,487557198,99145,737301615,0,45,12285454011,1573,3972601431,80,15305634,full,6309,57386553,79,166574,615.46,40.505608558654785,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
1,438361456,979,668816864,39773461,670981241,99145,925734944,0,92,10775453235,27829,1285759465,80,61771304,full,7266,91850949,79,166574,615.29,39.88355565071106,"[30, 20, 20000, 10, 0.5]",0.8909090909090909
