maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
15601,975,39884,50043,6085,67,146,false,8311,true,41604,22451,39461,true,64334,8767,60958,909,495327,2,2885.6,180.098370552063,"[8, 50, 180, True]",1
13689,352,42863,22923,73751,185,167,false,50846,true,500977,29430,69999,false,64334,24398,30637,414,14817,6,2850.55,180.12673234939575,"[8, 50, 180, True]",1
2450,975,9474,50043,6085,67,146,false,8311,true,132880,24569,39461,true,8261,15206,1867,909,495327,2,2796.73,180.11980056762695,"[8, 50, 180, True]",1
16667,975,9474,50043,73751,185,342,false,2140,true,41604,8970,12159,false,64334,8767,60958,650,228895,2,2780.73,180.10364484786987,"[8, 50, 180, True]",1
2450,975,11457,46830,6085,67,322,false,2140,true,132880,24569,97205,false,8261,15206,1867,909,228895,2,2776.82,180.11294746398926,"[8, 50, 180, True]",1
16667,352,30522,11970,73751,34,342,false,50846,true,500977,29430,69999,true,29269,8767,57195,957,243923,10,2772.15,180.09904623031616,"[8, 50, 180, True]",1
13689,746,42863,22923,68804,185,167,true,2140,true,41604,24569,88696,false,3489,8767,30637,650,14817,6,2762.32,180.11355662345886,"[8, 50, 180, True]",1
16667,975,9474,9100,73751,67,342,false,8311,true,132880,22451,12159,true,8261,8767,60958,650,228895,6,2756.61,180.10952019691467,"[8, 50, 180, True]",1
16667,975,42863,50043,73751,185,342,false,30841,true,41604,22949,12159,false,64334,8767,55951,680,495327,5,2756.05,180.09781503677368,"[8, 50, 180, True]",1
13689,746,42863,22923,68804,179,167,false,33645,true,41604,22949,88696,false,64334,24398,30637,765,14817,6,2754.46,180.11883521080017,"[8, 50, 180, True]",1
2450,975,9474,50043,6085,67,146,false,8311,true,132880,22451,39461,true,8261,15206,1867,824,228895,2,2754.41,180.11735653877258,"[8, 50, 180, True]",1
16667,746,42863,11970,73751,185,342,false,30841,true,41604,22949,88696,false,64334,8767,30637,765,495327,6,2750.06,180.10642743110657,"[8, 50, 180, True]",1
2450,405,9474,46830,6085,67,146,false,8311,true,132880,24569,39461,true,8261,15206,60958,909,495327,6,2749.74,180.09785437583923,"[8, 50, 180, True]",1
13689,352,30522,22923,68804,34,167,false,50846,true,500977,29430,69999,true,29269,24398,57195,414,14817,10,2749.18,180.09451055526733,"[8, 50, 180, True]",1
16667,975,30062,50043,77149,67,342,false,8311,true,593886,24569,12159,false,8261,8767,60958,650,495327,6,2749.08,180.1121699810028,"[8, 50, 180, True]",1
17162,43,3087,29493,82181,153,272,false,13175,false,446079,2893,47691,true,16488,48617,40362,524,178603,1,2745.29,180.1196596622467,"[8, 50, 180, True]",1
2450,975,2852,50043,63689,67,146,false,8311,true,41604,24569,12159,false,3489,8767,1867,650,495327,9,2743.39,180.10050010681152,"[8, 50, 180, True]",1
15601,975,39884,46830,6085,67,322,false,2140,true,41604,22451,39461,false,64334,8767,60958,909,228895,2,2740.73,180.09451389312744,"[8, 50, 180, True]",1
16667,975,3662,50043,73751,185,342,false,2140,true,41604,24569,12159,false,64334,8767,30637,650,495327,5,2738.9,180.1246247291565,"[8, 50, 180, True]",1
15601,975,30062,29493,77149,153,342,false,2140,true,41604,24569,47691,true,16488,8767,40362,524,178603,1,2738.55,180.1257040500641,"[8, 50, 180, True]",1
