inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
90,15,1,3,5,0.7333333333333332,2.8346584320068358,0
90,5,3,1,20,0.6848484848484848,2.818636894226074,0
80,25,1,4,15,0.6363636363636362,2.7801948308944704,0
90,25,1,2,15,-0.28484848484848485,2.7640132188796995,0
80,25,1,4,20,0.5393939393939393,2.792465901374817,1
80,15,1,2,5,0.05454545454545454,2.795878195762634,2
90,15,2,4,10,0.5030303030303029,2.9049546003341673,2
80,15,1,2,10,0.4666666666666666,2.8059458494186402,2
50,25,1,4,15,-0.13939393939393938,2.7944849252700807,2
70,25,1,2,15,-0.406060606060606,2.80057806968689,3
