fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,0.07444643974304199,2.9025845527648926,"[80, 35, 2, 2, 15]",0
On,On,On,On,On,On,On,Off,On,Off,On,On,Off,Off,On,On,Off,On,On,Off,0.0746917724609375,2.8837122917175293,"[80, 35, 2, 2, 15]",0
On,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,0.07477831840515137,2.9919016361236572,"[80, 35, 2, 2, 15]",0
Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.07644510269165039,2.919896364212036,"[80, 35, 2, 2, 15]",0
Off,On,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,Off,Off,0.07804369926452637,2.9167068004608154,"[80, 35, 2, 2, 15]",0
Off,Off,On,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.07819652557373047,2.9725492000579834,"[80, 35, 2, 2, 15]",0
On,On,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,Off,Off,On,0.07825875282287598,2.8832945823669434,"[80, 35, 2, 2, 15]",0
Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,0.07959127426147461,2.8929200172424316,"[80, 35, 2, 2, 15]",0
On,On,Off,Off,Off,Off,On,Off,On,On,On,On,On,On,On,Off,Off,On,On,On,0.07960987091064453,2.9595227241516113,"[80, 35, 2, 2, 15]",0
On,Off,Off,Off,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,On,On,0.08166027069091797,2.9409005641937256,"[80, 35, 2, 2, 15]",0
On,Off,On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,On,0.08179712295532227,2.8617231845855713,"[80, 35, 2, 2, 15]",0
Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,0.08180499076843262,2.8947863578796387,"[80, 35, 2, 2, 15]",0
On,On,On,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,Off,Off,On,0.0829768180847168,2.9372024536132812,"[80, 35, 2, 2, 15]",0
On,On,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,0.08318138122558594,2.989715576171875,"[80, 35, 2, 2, 15]",0
On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,Off,On,On,On,On,Off,0.08373761177062988,3.0275001525878906,"[80, 35, 2, 2, 15]",0
Off,Off,On,On,On,Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,Off,Off,On,0.08379340171813965,2.921431303024292,"[80, 35, 2, 2, 15]",0
On,Off,On,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,On,On,On,0.08387255668640137,2.9994523525238037,"[80, 35, 2, 2, 15]",0
On,On,On,On,On,Off,On,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,0.08388471603393555,2.9163429737091064,"[80, 35, 2, 2, 15]",0
Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,On,0.08419346809387207,2.9300742149353027,"[80, 35, 2, 2, 15]",0
On,On,On,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,On,On,On,0.08445978164672852,2.899754762649536,"[80, 35, 2, 2, 15]",0
