fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
On,On,On,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,On,Off,On,On,On,0.07222795486450195,2.7692041397094727,"[60, 25, 1, 1, 25]",0.7696969696969697
On,Off,Off,On,On,On,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,On,0.07259488105773926,2.8251495361328125,"[60, 25, 1, 1, 25]",0.7696969696969697
On,Off,On,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,On,Off,On,0.07480335235595703,2.822705030441284,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,0.07555484771728516,2.8111495971679688,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,On,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,Off,On,On,On,0.07981705665588379,2.816692590713501,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,On,On,Off,On,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,On,On,On,0.07985377311706543,2.7643399238586426,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,0.08106160163879395,2.867579460144043,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,On,On,On,On,0.08107924461364746,2.854551076889038,"[60, 25, 1, 1, 25]",0.7696969696969697
On,On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,0.0822904109954834,2.7493233680725098,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,On,Off,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.08375239372253418,2.857889175415039,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,On,Off,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,0.08425712585449219,2.778024196624756,"[60, 25, 1, 1, 25]",0.7696969696969697
On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,On,On,On,On,On,Off,On,0.08427047729492188,2.9023804664611816,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,On,On,On,0.08609676361083984,2.8347432613372803,"[60, 25, 1, 1, 25]",0.7696969696969697
On,On,Off,Off,On,On,Off,On,On,On,On,Off,On,On,On,On,On,On,Off,On,0.08613300323486328,2.846705198287964,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,0.08649039268493652,2.8810064792633057,"[60, 25, 1, 1, 25]",0.7696969696969697
On,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,0.08690810203552246,2.8058149814605713,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,On,On,Off,On,On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,Off,0.08695650100708008,2.8188064098358154,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,0.08714723587036133,2.8981449604034424,"[60, 25, 1, 1, 25]",0.7696969696969697
Off,On,Off,On,On,Off,On,On,On,Off,On,On,Off,On,On,On,On,On,Off,Off,0.08714723587036133,2.774240255355835,"[60, 25, 1, 1, 25]",0.7696969696969697
On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,0.08760261535644531,2.7796690464019775,"[60, 25, 1, 1, 25]",0.7696969696969697
