inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,25,1,2,25,0.3939393939393939,2.731735038757324,0
60,25,1,3,20,-0.2121212121212121,2.7252762079238892,0
70,25,1,2,20,0.6121212121212121,2.7464277029037474,0
80,35,1,1,20,0.6848484848484848,2.7825963497161865,0
50,25,1,2,15,0.18787878787878787,2.7445430755615234,1
80,25,1,2,5,0.1515151515151515,2.736664915084839,1
60,25,1,2,20,-0.41818181818181815,2.7294995307922365,1
70,25,1,3,5,0.406060606060606,2.7543925523757933,1
80,25,1,3,5,0.4666666666666666,2.768001389503479,1
60,5,1,2,20,0.5515151515151515,2.8522752046585085,1
